sample_id,time,anomaly,anomaly_type,data_modality,volume,flow,pressure
0,0.054254111,1,Auto Trigger,paw_flow,,,5.304916516
0,0.185185185,1,Auto Trigger,paw_flow,,1.096296296,
0,0.294990958,1,Auto Trigger,paw_flow,,,6.521217984
0,0.314814815,1,Auto Trigger,paw_flow,,-9.547325103,
0,0.5,1,Auto Trigger,paw_flow,,25.68559671,
0,0.518442192,1,Auto Trigger,paw_flow,,,3.656474745
0,0.518518519,1,Auto Trigger,paw_flow,,2.222222222,
0,0.518518519,1,Auto Trigger,paw_flow,,41.68888889,
0,0.554148967,1,Auto Trigger,paw_flow,,,8.145056147
0,0.589477226,1,Auto Trigger,paw_flow,,,13.85814022
0,0.643478992,1,Auto Trigger,paw_flow,,,19.16242587
0,0.734953947,1,Auto Trigger,paw_flow,,,23.24094713
0,0.919796442,1,Auto Trigger,paw_flow,,,25.2754763
0,0.944444444,1,Auto Trigger,paw_flow,,27.89794239,
0,1.087353325,1,Auto Trigger,paw_flow,,,23.22896076
0,1.217815536,1,Auto Trigger,paw_flow,,,21.18370694
0,1.329856584,1,Auto Trigger,paw_flow,,,18.73091643
0,1.407407407,1,Auto Trigger,paw_flow,,13.04691358,
0,1.423602641,1,Auto Trigger,paw_flow,,,15.46242167
0,1.517348698,1,Auto Trigger,paw_flow,,,12.1939269
0,1.574074074,1,Auto Trigger,paw_flow,,6.67654321,
0,1.62962963,1,Auto Trigger,paw_flow,,0.286419753,
0,1.648189427,1,Auto Trigger,paw_flow,,,8.924170417
0,1.742061656,1,Auto Trigger,paw_flow,,,5.247508096
0,1.796296296,1,Auto Trigger,paw_flow,,4.582716049,
0,1.817008033,1,Auto Trigger,paw_flow,,,2.795979308
0,1.833333333,1,Auto Trigger,paw_flow,,20.58930041,
0,1.851851852,1,Auto Trigger,paw_flow,,39.79259259,
0,1.854481221,1,Auto Trigger,paw_flow,,,1.570214914
0,1.908735332,1,Auto Trigger,paw_flow,,,6.058165454
0,1.925894772,1,Auto Trigger,paw_flow,,,10.54737772
0,1.961349203,1,Auto Trigger,paw_flow,,,15.85229423
0,2.033393616,1,Auto Trigger,paw_flow,,,22.78861925
